@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-V-R2,8,1,9,4,6,13,7,12,11,10,3,5,14'

@attribute ETo..in. numeric
@attribute Sol.Rad..Ly.day. numeric
@attribute Avg.Vap.Pres..mBars. numeric
@attribute Max.Air.Temp..F. numeric
@attribute Min.Air.Temp..F. numeric
@attribute Avg.Air.Temp..F. numeric
@attribute Max.Rel.Hum.... numeric
@attribute Min.Rel.Hum.... numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Dew.Point..F. numeric
@attribute Avg.Wind.Speed..mph. numeric
@attribute Wind.Run..miles. numeric
@attribute Avg.Soil.Temp..F. numeric
@attribute class {False,True}

@data
0.32,722,14.6,96.4,64.2,80.5,67,27,41,54.8,6.3,150,76.7,False
0.29,752,14.6,96.2,58.4,75.7,89,25,48,54.8,4.5,107.2,76.9,True
0.29,753,14.8,97.8,56,76.1,89,25,48,55.1,4.7,113,75.5,True
0.29,771,15,98.3,55.8,76.7,94,22,48,55.5,4.2,100.7,75.2,True
0.28,731,17.8,98.2,57.7,77.8,99,32,55,60.1,4.4,105.3,75.8,False
0.28,733,16.5,97.3,59.1,76.4,98,25,53,58.1,4.9,117.7,76.2,False
0.28,696,17.8,91.5,58,74.5,97,41,61,60.2,6.4,153.6,75.3,False
0.3,674,14.1,94.5,63.1,78,83,24,43,53.7,6.5,156.9,76.2,False
0.29,707,15.7,96.6,62.3,78.2,83,27,48,56.6,5.4,129.7,76.7,False
0.3,718,16.9,98.4,63.2,79.5,85,28,49,58.8,5.1,122.4,77.1,False
0.32,728,15.8,99.4,60.2,80.3,91,22,45,56.8,5.6,135.5,76.6,False
0.35,730,13.6,102.5,62,82,84,13,36,52.7,6.4,152.5,76.4,False
0.28,711,16.3,103.5,60.6,79.9,87,21,47,57.8,3.7,89.4,77.2,False
0.28,727,15.7,99.8,58,76.6,95,19,50,56.7,3.9,93.4,76.6,False
0.25,672,17.2,99,58.4,75.8,94,30,56,59.2,3.3,80.1,76.5,False
0.22,594,15.5,96.8,58.6,75.2,89,23,52,56.3,3.2,77.8,75.8,True
0.25,633,16,101,58.3,76.7,92,23,51,57.2,3.4,82.3,75.5,True
0.27,672,15.6,98.3,57.9,76.5,93,23,50,56.5,4.3,102.1,75.3,False
0.27,714,13.7,97.7,56,75.5,88,16,45,52.9,4.3,103.2,75,False
0.27,713,13.3,97.1,56.1,75,87,20,45,52.1,4.2,101.6,74.8,False
0.26,663,14,96,52.9,74.7,94,26,47,53.5,4.2,100.8,73.6,False
0.33,682,10.7,98.4,60,79.4,70,12,31,46.3,6.9,164.6,73.5,False
0.27,663,12.2,94.6,54.4,74.4,85,16,42,49.7,5,120.9,73.4,False
0.29,636,10.9,99,56.9,77.4,70,13,34,46.7,5.1,123.1,72.5,False
0.23,568,13.9,94.4,57.3,74.2,91,22,48,53.4,3.1,75.4,72.9,False
0.25,625,15.6,94.3,57.2,74.6,90,28,53,56.6,4,96.4,73.2,False
0.27,660,15.3,101,57.7,78,96,19,47,56,4.3,103.9,74,False
0.32,661,13.6,101.7,57.2,79.9,95,17,39,52.7,6.4,153.2,73.9,False
0.29,665,11.8,101.5,62.3,80.9,69,11,33,48.9,4.7,113.1,75.1,False
0.27,659,12.9,97.3,57.9,77.1,84,13,41,51.4,4.6,110.9,74.5,False
0.26,659,14.1,94.7,57.1,73.9,91,17,49,53.6,4.7,113.6,73.2,False
0.24,656,14.8,86.5,56.8,70.1,98,32,59,55.1,4.2,99.8,72.8,False
0.24,655,14.8,88.5,55.1,70.6,99,27,58,55.1,4,96.6,72.5,False
0.26,647,14.8,94,56.5,74.3,97,25,51,55,4.9,117.6,73.2,False
0.28,656,11.8,98.5,57.5,77,86,12,37,49,5.6,134.4,73.2,False
0.3,664,11.3,100.2,54.2,76.9,77,13,36,47.7,5.4,129.4,72.6,False
0.26,659,13.5,96,52.8,74.2,92,20,47,52.5,4.5,106.8,72.6,False
0.24,653,14.3,91.2,52.2,71,92,27,55,54.1,4.6,110.5,72,False
0.22,618,14.5,83.9,51.6,66.1,99,42,66,54.6,5.2,125.8,71,False
0.23,615,14.8,85.2,52.5,68.6,95,40,62,55.1,5.8,140.1,70.6,False
0.23,601,13.8,85.1,51.7,67.9,97,35,59,53.1,5.6,133.5,70.3,False
0.21,588,13.9,83.2,50.3,66.3,94,42,63,53.4,4.3,102.5,69.7,False
0.22,582,13.1,87.5,51.3,68.7,93,31,55,51.8,4.7,113.6,69.7,False
0.24,657,11.9,86.4,47.8,67.2,94,20,52,49.1,5,119.2,69.3,False
0.22,616,14.7,80.8,53.3,67.1,98,47,65,54.9,5.3,127.6,69.1,False
0.22,618,14.3,81.2,53.8,67,99,41,63,54.1,5.9,141.7,69.2,False
0.24,622,13.5,81.1,53.3,67.9,85,41,58,52.6,7.8,187.7,69.1,False
0.22,589,13.8,79.3,53.1,67.5,94,42,60,53.2,6.2,149.9,69.3,False
0.23,606,14,88.3,52.7,70.1,98,32,56,53.6,4.6,111.2,69.6,False
0.23,586,13,92.8,54.3,74,80,25,45,51.5,4.3,102.8,70.8,False
0.24,590,14,94.9,55.3,74.8,87,26,47,53.5,4.8,114.2,71.1,False
0.23,582,13.9,91.9,54.2,71.3,86,29,53,53.4,4.6,110.4,70.2,False
0.22,587,14.4,90.4,53.5,70.9,90,32,56,54.4,4.7,113.8,69.8,False
0.22,589,14.6,85.6,54.7,69.2,90,38,60,54.8,6.7,159.9,69.8,False
0.21,593,13.9,92.2,50.7,69.9,97,27,56,53.4,4.3,102.2,69.6,False
0.24,601,13.5,95.9,53.8,74.7,91,21,46,52.6,5,120.4,70.4,False
0.26,608,10.4,96.5,54.3,75.3,81,13,35,45.7,5.3,128,70.4,False
0.23,595,11.2,95,50.8,72.1,70,20,42,47.5,4.4,106.4,69.5,False
0.23,593,11.5,93.2,51.1,72.4,80,20,42,48.1,5,118.9,68.7,False
0.22,589,9.2,92.7,50.3,73.1,75,12,33,42.2,4.4,105.9,68.7,False
0.23,501,10,81.2,58.5,68.5,66,28,42,44.4,8,193.2,68.1,False
0.2,570,11.3,82,55.9,67.6,73,27,49,47.8,6.3,151.3,68.8,False
0.21,554,10.3,82.2,48.7,66.8,85,25,46,45.3,5.9,140.8,67.7,False
0.21,576,10.3,79.1,53.4,65.6,72,26,48,45.4,7,168,67.4,False
0.21,573,10.9,82.6,48.7,66.1,82,25,50,46.9,6.5,155.7,66.5,False
0.19,559,11.6,83.5,46.6,65.1,89,27,55,48.5,5.3,126.4,66,False
0.19,561,11.5,81.5,45.8,64.4,92,31,56,48.1,4.7,112,65.2,False
0.21,544,11.1,89,48.9,69.2,88,20,46,47.4,5.1,122.2,65.7,False
0.22,545,8,92.7,57.1,74.8,52,13,27,38.7,4.4,105.9,66.7,False
0.22,531,8.7,93.6,51.3,73.1,56,15,31,41,4.7,113.8,66.6,False
0.21,522,10.1,91.8,49.9,71.1,63,20,39,44.7,4.5,107.1,67.1,False
0.21,531,10.1,90.6,50.1,70.5,71,21,40,44.8,4.6,111.3,67,False
0.21,526,8.7,93.6,49.2,71.5,83,13,33,40.8,4.9,118.6,65.6,False
0.21,513,9.2,93.7,52.5,72.4,71,15,34,42.3,5,119.2,65.5,False
0.19,486,10.1,96.9,53,73.6,74,14,36,44.9,3.6,85.3,66.6,False
0.19,472,12.2,94.6,53.9,72.5,82,17,45,49.9,4.3,104.2,67.3,False
0.18,466,12.8,84.7,51.8,66.1,97,35,58,51.1,6.4,153.8,66.8,False
0.13,370,13.8,78.3,55.7,65.7,89,44,64,53.2,6.1,147,66.6,False
0.15,412,14.4,81.1,54.4,68.1,96,43,61,54.3,3.8,90.3,67.3,False
0.13,331,13.3,81.5,55.5,69.2,79,39,54,52.1,4,94.9,67.6,False
0.17,417,16.1,85.9,65.1,73.5,80,39,57,57.3,5.8,140.1,69,False
0.1,270,18.2,81.2,62.7,69.6,99,51,74,60.8,4.4,105.7,69,True
0.14,430,15.7,77.2,55.7,66,99,47,72,56.7,5.3,126.3,68.1,False
0.16,445,12.7,79.8,50.5,65.3,84,39,59,50.9,5.2,123.9,65.9,False
0.22,457,10.9,81.9,56.1,70,69,24,43,46.8,8.9,214.4,65.8,False
0.31,479,7.3,82.3,62.4,71.3,45,16,28,36.4,14.7,353.3,64.7,False
0.22,465,7.4,84.6,52.4,70.4,45,17,29,36.8,6.9,164.4,64.3,False
0.18,453,10.9,86.6,53.3,68,81,30,47,46.9,6.2,149.3,64.4,False
0.15,445,11.7,77.3,48.6,62.5,87,39,60,48.6,5.5,133.1,63.9,False
0.14,433,11.5,77,49.2,63.4,89,37,58,48.3,4.2,100.2,63.9,False
