@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-V-R2,4,8-9,12,14'

@attribute Sol.Rad..Ly.day. numeric
@attribute Max.Air.Temp..F. numeric
@attribute Min.Rel.Hum.... numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Wind.Run..miles. numeric
@attribute class {False,True}

@data
748,94.6,25,45,111.6,False
682,93.7,24,50,87.8,False
756,89.7,23,45,128.7,False
762,77.6,32,54,147.5,False
689,80.2,32,54,162,False
666,88.1,25,47,93.2,False
765,87.3,17,42,103.1,False
774,88.8,20,46,94,False
764,87.4,21,47,112.3,False
742,85.9,27,44,115.4,False
750,88.8,33,50,114.3,False
754,90.6,32,52,95.5,False
753,94.2,25,51,94.1,False
742,94.2,30,51,88.2,False
704,88.5,29,52,97.1,False
747,79.1,40,61,129.4,False
717,87.6,34,58,95.6,False
731,88.2,35,58,115.8,False
741,92.9,28,52,118.5,False
743,94.5,35,56,89.1,False
751,96.5,23,51,98.6,False
754,95.3,24,44,102.1,False
739,95.6,26,40,125.8,False
724,92.8,26,47,146.6,False
729,95.1,25,52,83.3,False
720,90.8,33,58,128.5,False
723,86.9,42,65,119.1,False
726,86.4,27,56,132.7,False
681,91.2,33,56,92.9,False
713,95.4,26,46,113.2,False
711,95.1,25,45,112.1,False
717,99.9,12,39,119,False
667,101.6,12,37,116.3,False
708,91,30,54,150.8,False
722,103.1,14,42,121.6,False
699,102.8,18,35,135.3,False
719,92.6,23,49,119.8,False
720,91.2,14,42,105.9,False
709,92.6,29,51,119.7,False
705,88.5,33,60,128.2,False
695,94.2,31,52,137.9,False
692,99.4,23,47,118.3,False
698,96.6,30,55,127.8,False
631,95.9,22,51,111.5,False
649,95.9,15,43,134.3,False
685,95.5,20,47,126.3,False
680,85.2,23,47,132.5,False
607,87.8,31,49,166.7,False
543,84.9,38,60,176.7,False
674,91.3,28,49,140.5,False
673,97.3,17,37,113.3,False
679,99.9,17,35,98.3,False
672,104.2,12,33,137.4,False
657,105.5,18,35,135.8,False
659,103.7,19,36,128.3,False
657,91.3,29,54,122.9,False
665,86.7,39,61,127.4,False
653,86.9,33,60,109.3,False
650,88.7,34,56,122.3,False
633,97.6,23,48,136.2,False
624,99,23,46,135.8,False
619,96.7,26,48,144.2,False
609,97.1,20,47,153.9,False
614,99.4,22,40,144.2,False
614,101,21,35,140.1,False
590,102.1,11,29,141.6,False
578,95.3,22,42,130.8,False
601,88.8,34,53,166.4,False
623,92.2,28,49,138.2,False
618,98.8,19,42,106.8,False
601,98.6,20,39,136,False
587,97.9,24,41,135.1,False
603,95.8,20,45,113.5,False
558,97.2,20,42,128.6,False
547,94.2,21,47,114.7,False
592,92.5,22,53,107.9,False
556,76.7,47,62,195.6,False
574,85.8,34,56,143.4,False
570,86.1,29,51,205.8,False
554,84,30,55,125.3,False
563,89.8,23,47,126.3,False
552,94.3,20,37,104,False
560,100.1,14,30,101.2,False
553,101.5,16,31,105.3,False
568,87.8,15,49,148.9,False
459,80.5,18,49,174.5,True
556,83,27,55,142.5,False
298,80.2,45,63,175.1,False
544,81.1,29,52,129.9,False
536,87.6,21,39,128.1,False
541,89.1,21,37,136.5,False
470,90.9,19,41,105.5,False
526,90.5,23,39,188.1,False
520,98.8,16,27,142.2,False
511,98.6,22,35,97.9,False
496,90.4,32,51,183.5,False
477,79.4,35,66,205.3,False
460,74.9,30,53,193.4,False
444,72.2,30,48,175,False
490,71.1,24,50,139.1,False
503,76.4,23,43,130.7,False
501,80.7,16,35,105.1,False
489,82.2,25,41,120.7,False
493,78.9,17,36,169.3,False
482,83.8,18,31,129.2,False
445,87.6,21,32,111.2,False
462,91.4,17,33,97.2,False
446,91.8,18,31,84.6,False
465,77.1,11,22,266,False
462,78.7,11,18,234.4,False
433,81.1,17,32,94.2,False
431,83.4,17,35,72,False
417,81.5,17,35,103.5,False
424,82.8,20,39,107.2,False
415,84.5,22,46,72.4,False
286,77.4,34,53,107.8,False
411,76,28,50,231.3,False
386,75.7,35,54,157.4,False
349,76.5,46,66,147.9,False
391,80.8,23,49,148.4,False
392,88.5,19,37,150.3,False
393,85.8,21,36,141.1,False
374,87.9,15,29,167.7,False
377,89.8,10,18,124.2,False
367,88.7,15,26,96.2,False
371,85.7,19,34,109.7,False
370,73.6,9,18,460.7,False
379,74,8,17,126.3,False
358,72.6,11,22,181.2,False
358,71.3,13,21,94.1,False
359,75.5,10,25,84.8,False
352,78,14,29,63,False
347,80.1,14,32,65.9,False
337,83.5,16,33,54,False
332,81.6,19,37,60,False
331,84.8,21,41,67.1,False
324,80.3,25,48,68,False
322,83.1,28,59,73,False
323,81.4,24,57,83.6,False
324,81.1,24,51,82.9,False
313,80.6,23,49,72.3,False
285,82.3,25,45,60.2,False
272,78.3,30,52,67.9,False
220,76,37,54,58.5,False
249,72.2,46,73,105.7,False
287,71.5,46,75,110.3,False
286,75.3,40,67,87.1,False
283,79.4,36,62,64.1,False
280,79.2,37,62,67.1,False
282,70.3,38,61,186.2,False
246,71.6,22,37,298.8,False
261,69.6,45,68,75.1,False
264,70.6,38,62,94.5,False
269,72.1,28,53,80.9,False
264,72.9,27,50,78.4,False
278,66.3,16,37,267.3,False
87,55.3,30,45,193.1,True
143,53.7,40,66,176.5,True
66,54.7,42,62,125.3,False
255,58.3,39,67,111.6,True
51,50.3,43,85,296.7,True
50,58.2,30,51,405.8,True
53,63.3,37,42,200.1,True
98,64.6,51,64,106.5,False
37,65.9,37,43,98,True
78,66.7,34,39,62.1,False
161,70.6,37,38,144.1,True
155,72.8,35,37,183.3,True
179,76,38,41,90.4,True
255,73.5,41,44,79.8,False
101,66.2,43,44,73.5,True
39,60.5,41,43,99.2,True
118,72.3,44,46,84.3,False
56,70,46,46,87,True
253,63.1,40,46,215.7,True
259,65.4,32,45,135.8,False
262,65.5,29,45,89,False
170,61.5,43,50,76.9,False
104,64.3,49,54,121.8,True
123,68.1,50,55,68.6,False
123,66.3,48,54,59,True
85,61.2,52,54,57.4,False
91,63.1,52,56,96.5,True
191,64.4,42,55,120.3,True
177,62.7,42,53,77,False
132,56.7,54,57,196.7,False
260,63.2,28,41,205.3,False
261,66.6,26,38,111.3,False
259,64.9,31,47,98.2,False
92,58.6,51,57,117.7,True
257,67.9,36,49,141.1,False
243,69.1,35,50,103.8,False
196,71.1,40,51,86.4,False
